Provider,Product,Version,EOS Date,Reference
Adobe,Acrobat,DC,2020-04-07,https://helpx.adobe.com/support/programs/eol-matrix.html#63
Adobe,Acrobat Pro DC (Classic),2015,2020-04-07,https://helpx.adobe.com/support/programs/eol-matrix.html
Adobe,Acrobat Reader DC (Classic),2015,2020-04-07,https://helpx.adobe.com/support/programs/eol-matrix.html#62
Adobe,Acrobat Standard DC (Classic),2015,2020-04-07,https://helpx.adobe.com/support/programs/eol-matrix.html
Adobe,Aem (CQ) All capabilities,AEM 6.3,2020-04-30,https://helpx.adobe.com/support/programs/eol-matrix.html#63
Adobe,Aem (CQ) All capabilities,AEM 6.4,2021-04-30,https://helpx.adobe.com/support/programs/eol-matrix.html#63
Adobe,Campaign,6.1,2020-03-29,https://helpx.adobe.com/support/programs/eol-matrix.html#63
Adobe,Captivate,9,2020-08-20,https://helpx.adobe.com/support/programs/eol-matrix.html#63
Adobe,ColdFusion,2016,2021-02-17,https://helpx.adobe.com/support/programs/eol-matrix.html#63
Adobe,ColdFusion Builder,2016,2021-02-17,https://helpx.adobe.com/support/programs/eol-matrix.html#63
Adobe,Connect 9.7,9.7,2020-11-17,https://helpx.adobe.com/support/programs/eol-matrix.html#63
Adobe,Connect 9.8,9.8,2021-05-14,https://helpx.adobe.com/support/programs/eol-matrix.html#63
Adobe,LiveCycle Correspondence Management Solution,11.x.x,2020-03-31,https://helpx.adobe.com/support/programs/eol-matrix.html
Adobe,LiveCycle Designer ES4,11.x.x,2020-03-31,https://helpx.adobe.com/support/programs/eol-matrix.html#63
Adobe,LiveCycle Digital Signatures ES4,11.x.x,2020-03-31,https://helpx.adobe.com/support/programs/eol-matrix.html#63
Adobe,LiveCycle ES4 Connector for EMC Documentum,11.x.x,2020-03-31,https://helpx.adobe.com/support/programs/eol-matrix.html
Adobe,LiveCycle ES4 Connector for IBM Content Manager,11.x.x,2020-03-31,https://helpx.adobe.com/support/programs/eol-matrix.html
Adobe,LiveCycle ES4 Connector for IBM FileNet,11.x.x,2020-03-31,https://helpx.adobe.com/support/programs/eol-matrix.html
Adobe,LiveCycle ES4 Connector for Microsoft SharePoint,11.x.x,2020-03-31,https://helpx.adobe.com/support/programs/eol-matrix.html
Adobe,LiveCycle Forms ES4,11.x.x,2020-03-31,https://helpx.adobe.com/support/programs/eol-matrix.html
Adobe,LiveCycle Forms Pro ES4 Add-on,11.x.x,2020-03-31,https://helpx.adobe.com/support/programs/eol-matrix.html#63
Adobe,LiveCycle Forms Pro ES4,11.x.x,2020-03-31,https://helpx.adobe.com/support/programs/eol-matrix.html#63
Adobe,LiveCycle Forms Standard ES4,11.x.x,2020-03-31,https://helpx.adobe.com/support/programs/eol-matrix.html#63
Adobe,LiveCycle Output ES4,11.x.x,2020-03-31,https://helpx.adobe.com/support/programs/eol-matrix.html
Adobe,LiveCycle Process Management ES4,11.x.x,2020-03-31,https://helpx.adobe.com/support/programs/eol-matrix.html
Adobe,LiveCycle Reader Extensions ES4,11.x.x,2020-03-31,https://helpx.adobe.com/support/programs/eol-matrix.html
Adobe,LiveCycle Rights Management ES4,11.x.x,2020-03-31,https://helpx.adobe.com/support/programs/eol-matrix.html
Adobe,LiveCycle Workbench ES4,11.x.x,2020-03-31,https://helpx.adobe.com/support/programs/eol-matrix.html
Adobe,Muse,2018.1,2020-03-26,https://helpx.adobe.com/support/programs/eol-matrix.html#63
Adobe,Presenter,11.1,2020-09-03,https://helpx.adobe.com/support/programs/eol-matrix.html#63
